League Name,,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to 1.Div
Bolivian LFPB,Bolivian Primera División,-0.089774116,-0.672954079,0.166517872,-1.049897726,-0.241947371,-0.360535786,-0.123935699,0.071031935,-1.102275556,-0.348921884,10,-0.27352136,-6.4348,17.93461025
Bosnian Premier League,Bosnian Premijer Liga,0.284433272,-0.377673787,-0.579537774,-0.678755346,-0.125919837,-0.497929211,-0.858559289,-0.254327138,-0.112295037,-0.585450071,14,0.93405575,-9.866103,21.56799788
Botola Pro,Botola Pro,0.219515307,-0.110298577,-0.83186223,-0.74074527,-0.422085093,-0.606928566,-1.30335351,-0.514037336,0.007547139,-0.784503783,14,2.0309844,-10.948681,22.93418998
Brasileirao,Brasileirão,0.29760653,1.224319544,0.081362604,-0.270359642,0.347153341,0.053658651,-0.38451281,-0.005575013,0.018974857,0.033660973,8,5.6527963,1.4536349,14.40180979
Brasileirão,Brasileirão,0.29760653,1.224319544,0.081362604,-0.270359642,0.347153341,0.053658651,-0.38451281,-0.005575013,0.018974857,0.033660973,8,5.6550384,1.4513859,14.40497451
Brazil Serie B,Brazil Serie B,0.382325027,0.555604992,-0.536503535,-0.670351223,0.451541696,-0.27866166,-0.988719515,0.330446921,-0.015269736,-0.605592619,10,-2.8392196,-6.2014117,17.15583997
Brazil Serie C,Brazil Serie C,0.479191652,-0.014345395,-0.864655501,-0.900040781,-0.044893041,-0.373058544,-1.378071145,0.818058113,-0.527042969,-0.979756588,10,-3.0090952,-8.697101,19.60767416
Bulgarian First League,Bulgarian First League,0.131811599,0.356807652,-0.407342684,-0.399674488,-0.32184836,-0.018038089,-0.764746818,-0.517072404,0.094121157,-0.337284117,0,5.401525,-3.5116053,17.8649755
Bundesliga,Bundesliga,-0.480417122,1.416982426,1.107751409,0.186355354,0.231499331,-0.333109135,0.815378758,-0.370611516,1.052015571,0.612130164,15,-9.454942,13.011784,4.695752992
Cambodian Premier League,,-1.16938314,0.132464359,0.687424175,-0.223657957,-0.477241521,0.365377453,0.195689876,0.073408616,0.422211072,-0.032824513,13,4.625221,6.078788,11.00395208
Campeonato de Portugal,Campeonato de Portugal Prio,0.849423862,-1.375955839,-1.117934969,-0.905163196,-0.239807885,-0.361855615,-1.294009736,0.552688675,-0.713207262,-0.889375512,10,-2.2580795,-15.249435,26.20286109
Canadian Premier League,Canadian Premier League,-0.405629089,1.307717285,-0.226511332,-0.266918729,-0.740922391,0.017614613,-0.680665118,-0.615673138,0.862402714,-0.245017635,8,7.8080745,-4.41398,20.07938714
Capital Territory NPL,,-0.197200714,-0.164252548,0.754121545,1.064269135,-1.309236011,1.242539156,0.941917695,1.040664063,0.378819415,0.727737544,4,2.0704613,15.658505,8.865268831
Championship,Championship,-0.233878756,0.825651499,-0.261023779,-0.211903532,0.139526311,-0.103483276,-0.316648334,-0.08740849,0.245611071,-0.105816201,8,5.8486323,-0.15988103,15.63421121
